ТЦ/ТРК,Арендатор / бренд,Источник,Источник URL,Статус подтверждения
KazanMall,Винни-Пух,официальный сайт,javascript:void(0);,"подтверждено официальным сайтом, автосверка 2026-07-16"
KazanMall,Детский мир,официальный сайт,javascript:void(0);,"подтверждено официальным сайтом, автосверка 2026-07-16"
KazanMall,ЗАМОК СЛАДОСТЕЙ,официальный сайт,javascript:void(0);,"подтверждено официальным сайтом, автосверка 2026-07-16"
KazanMall,Золотое Яблоко,официальный сайт,javascript:void(0);,"подтверждено официальным сайтом, автосверка 2026-07-16"
KazanMall,Золотой Кристалл,официальный сайт,javascript:void(0);,"подтверждено официальным сайтом, автосверка 2026-07-16"
KazanMall,ИМПЕРИЯ,официальный сайт,javascript:void(0);,"подтверждено официальным сайтом, автосверка 2026-07-16"
KazanMall,Книга плюс,официальный сайт,javascript:void(0);,"подтверждено официальным сайтом, автосверка 2026-07-16"
KazanMall,Корд Оптика,официальный сайт,javascript:void(0);,"подтверждено официальным сайтом, автосверка 2026-07-16"
KazanMall,Лента,официальный сайт,javascript:void(0);,"подтверждено официальным сайтом, автосверка 2026-07-16"
KazanMall,МегаФон | YOTA,официальный сайт,javascript:void(0);,"подтверждено официальным сайтом, автосверка 2026-07-16"
KazanMall,Мир Кубиков,официальный сайт,javascript:void(0);,"подтверждено официальным сайтом, автосверка 2026-07-16"
KazanMall,НАШЕ ЗОЛОТО,официальный сайт,javascript:void(0);,"подтверждено официальным сайтом, автосверка 2026-07-16"
KazanMall,Пан Чемодан,официальный сайт,javascript:void(0);,"подтверждено официальным сайтом, автосверка 2026-07-16"
KazanMall,Подружка,официальный сайт,javascript:void(0);,"подтверждено официальным сайтом, автосверка 2026-07-16"
KazanMall,СВЯТАЯ,официальный сайт,javascript:void(0);,"подтверждено официальным сайтом, автосверка 2026-07-16"
KazanMall,СИН,официальный сайт,javascript:void(0);,"подтверждено официальным сайтом, автосверка 2026-07-16"
KazanMall,Снежная Королева,официальный сайт,javascript:void(0);,"подтверждено официальным сайтом, автосверка 2026-07-16"
KazanMall,Спортмастер,официальный сайт,javascript:void(0);,"подтверждено официальным сайтом, автосверка 2026-07-16"
KazanMall,Технопарк,официальный сайт,javascript:void(0);,"подтверждено официальным сайтом, автосверка 2026-07-16"
KazanMall,Фармленд,официальный сайт,javascript:void(0);,"подтверждено официальным сайтом, автосверка 2026-07-16"
KazanMall,Фитиль,официальный сайт,javascript:void(0);,"подтверждено официальным сайтом, автосверка 2026-07-16"
KazanMall,Четыре Лапы,официальный сайт,javascript:void(0);,"подтверждено официальным сайтом, автосверка 2026-07-16"
KazanMall,Чудо Остров,официальный сайт,javascript:void(0);,"подтверждено официальным сайтом, автосверка 2026-07-16"
KazanMall,ЭПЛ. Якутские бриллианты,официальный сайт,javascript:void(0);,"подтверждено официальным сайтом, автосверка 2026-07-16"
KazanMall,Яхонт,официальный сайт,javascript:void(0);,"подтверждено официальным сайтом, автосверка 2026-07-16"
